Code.Sec	Desc.	Name	Cr.	Ects	Instr.	Days	Hours	Course Delivery Method	Final Exam Location	Rooms	Exam	Sl.	Required for Dept.(*)	Departments
MATH101.01 	Desc.	CALCULUS I 	4 	6 	MÜGE TAŞKIN AYDIN 	TTThTh 	1212 	 	 	HD 101 (SALON3) | HD 101 (SALON3) | NH 101 | NH 101 	 	 	 	 
MATH101.02 	Desc.	CALCULUS I 	4 	6 	MÜGE TAŞKIN AYDIN 	TTThTh 	3434 	 	 	HD 101 (SALON3) | HD 101 (SALON3) | NH 101 | NH 101 	 	 	 	 
MATH101.03 	Desc.	CALCULUS I 	4 	6 	ÖZLEM BEYARSLAN 	TTThTh 	1212 	 	 	TB 310 | TB 310 | TB 310 | TB 310 	 	 	 	 
MATH101.04 	Desc.	CALCULUS I 	4 	6 	FATİH ECEVİT 	TTThTh 	3434 	 	 	TB 310 | TB 310 | TB 310 | TB 310 	 	 	 	 
MATH101.05 	Desc.	CALCULUS I 	4 	6 	FATİH ECEVİT 	TTThTh 	5656 	 	 	TB 310 | TB 310 | TB 310 | TB 310 	 	 	 	 
MATH102.01 	Desc.	CALCULUS II 	4 	6 	STAFF STAFF 	TTThTh 	1212 	 	 	HD 301 (SALON1) | HD 301 (SALON1) | NH 301 | NH 301 	 	 	 	 
MATH102.02 	Desc.	CALCULUS II 	4 	6 	ÜMİT IŞLAK 	TTThTh 	3434 	 	 	NH 301 | NH 301 | NH 305 | NH 305 	 	 	 	 
MATH105.01 	Desc.	INTRODUCTION TO FINITE MATHEMATICS 	4 	6 	SİNAN S.IŞIK 	TTThTh 	1212 	 	 	NH 101 | NH 101 | NH 105 | NH 105 	 	 	 	 
MATH105.02 	Desc.	INTRODUCTION TO FINITE MATHEMATICS 	4 	6 	SİNAN S.IŞIK 	TTThTh 	3434 	 	 	NH 101 | NH 101 | NH 105 | NH 105 	 	 	 	 
MATH111.01 	Desc.	INTRODUCTION TO MATHEMATICAL STRUCTURES 	4 	8 	TALİN BUDAK 	TTThTh 	1212 	 	 	M 2181 | M 2181 | M 2181 | M 2181 	 	 	MATH,MEDU 	 
MATH111.02 	Desc.	INTRODUCTION TO MATHEMATICAL STRUCTURES 	4 	8 	TALİN BUDAK 	TTThTh 	3434 	 	 	M 2181 | M 2181 | M 2181 | M 2181 	 	 	MATH,MEDU 	 
MATH131.01 	Desc.	CALCULUS OF A SINGLE VARIABLE 	4 	8 	AHMET KAMİL FEYZİOĞLU 	MMWW 	1212 	 	 	NH 102 | NH 102 | NH 102 | NH 102 	 	 	 	 
MATH132.01 	Desc.	CALCULUS OF SEVERAL VARIABLES 	4 	8 	N.SADIK DEĞER 	MMWW 	1212 	 	 	TB 240 | TB 240 | TB 240 | TB 240 	 	 	 	 
MATH201.01 	Desc.	MATRIX THEORY 	4 	5 	KÜBRA BENLİ 	MMWW 	1212 	 	 	TB 310 | TB 310 | TB 310 | TB 310 	 	 	 	 
MATH201.02 	Desc.	MATRIX THEORY 	4 	5 	STAFF STAFF 	MMWW 	3434 	 	 	TB 310 | TB 310 | TB 310 | TB 310 	 	 	 	 
MATH201.03 	Desc.	MATRIX THEORY 	4 	5 	CRAIG CHARLES VAN COEVERING 	MMWW 	1212 	 	 	NH 301 | NH 301 | NH 101 | NH 101 	 	 	 	 
MATH201.04 	Desc.	MATRIX THEORY 	4 	5 	SAADET ÖYKÜ YURTTAŞ 	MMWW 	3434 	 	 	NH 105 | NH 105 | HD 301 (SALON1) | HD 301 (SALON1) 	 	 	 	 
MATH202.01 	Desc.	DIFFERENTIAL EQUATIONS 	4 	7 	FERİT ÖZTÜRK 	MMWW 	1212 	 	 	NH 101 | NH 101 | NH 305 | NH 305 	 	 	 	 
MATH202.02 	Desc.	DIFFERENTIAL EQUATIONS 	4 	7 	FERİT ÖZTÜRK 	MMWW 	3434 	 	 	NH 101 | NH 101 | NH 305 | NH 305 	 	 	 	 
MATH221.01 	Desc.	LINEAR ALGEBRA 	4 	8 	YASEMİN KARA 	MMWW 	3434 	 	 	M 2230 | M 2230 | M 2181 | M 2181 	 	 	 	 
MATH222.01 	Desc.	GROUP THEORY 	4 	8 	ARZU BOYSAL 	TTThTh 	1212 	 	 	M 2170 | M 2170 | M 2170 | M 2170 	 	 	MEDU 	 
MATH231.01 	Desc.	ADVANCED CALCULUS I 	4 	8 	BURAK GÜREL 	TTThTh 	5656 	 	 	M 2181 | M 2181 | M 2181 | M 2181 	 	 	MEDU 	 
MATH323.01 	Desc.	RINGS,FIELDS&GALOIS THEORY 	4 	8 	AYHAN GÜNAYDIN 	TTThTh 	5656 	 	 	M 2171 | M 2171 | M 2230 | M 2230 	 	 	 	 
MATH327.01 	Desc.	NUMBER THEORY 	3 	6 	KÜBRA BENLİ 	MMW 	343 	 	 	M 3100 | M 3100 | TB 240 	 	 	 	 
MATH331.01 	Desc.	METRIC SPACES 	4 	8 	SAADET ÖYKÜ YURTTAŞ 	MMWW 	1212 	 	 	NH 105 | NH 105 | HD 301 (SALON1) | HD 301 (SALON1) 	 	 	 	 
MATH411.01 	Desc.	MATHEMATICAL LOGIC 	3 	6 	BETÜL TANBAY 	TTTh 	343 	 	 	TB 240 | TB 240 | TB 240 	 	 	 	 
MATH432.01 	Desc.	COMPLEX ANALYSIS II 	3 	6 	CEM YALÇIN YILDIRIM 	TTTh 	9109 	 	 	TB 240 | TB 240 | TB 240 	 	 	 	 
MATH471.01 	Desc.	TOPOLOGY 	3 	6 	BETÜL TANBAY 	TThTh 	212 	 	 	TB 240 | TB 240 | TB 240 	 	 	 	 
MATH482.01 	Desc.	SPECIAL TOPICS MACHINE LEARNING METHODS AND NEURAL NETWORKS: A PROBABILITY THEORY APPROACH 	3 	6 	ÇAĞRI DİNER 	ThThTh 	678 	 	Online 	NH 403 | NH 403 | NH 403 	 	 	 	 
MATH48S.01 	Desc.	SELECTED TOPICS IN MATHEMATICS:STOCHASTIC PROCESSES 	3 	6 	ÜMİT IŞLAK 	TTTh 	565 	 	 	NH 103 | NH 103 | NH 302 	 	 	 	 
MATH49D.01 	Desc.	SELECTED TOPICS HYPERBOLIC GEOMETRY 	3 	6 	YASEMİN KARA 	MWW 	212 	 	 	TB 155 | TB 155 | TB 155 	 	 	 	 
MATH49E.01 	Desc.	SP.TP.EULER PROJECT 	3 	6 	AHMET KAMİL FEYZİOĞLU 	MMW 	343 	 	 	NH 102 | NH 102 | NH 102 	 	 	 	 
MATH521.01 	Desc.	ALGEBRA I 	4 	10 	AYHAN GÜNAYDIN 	TTThTh 	7878 	 	 	 	 	 	 	 
MATH531.01 	Desc.	REAL ANALYSIS I 	4 	10 	BURAK GÜREL 	TTThTh 	3434 	 	 	 	 	 	 	 
MATH533.01 	Desc.	COMPLEX ANALYSIS I 	4 	10 	OLIVER DR. BÜLTEL 	TTThTh 	1212 	 	 	 	 	 	 	 
MATH577.01 	Desc.	COMPLEX MANIFOLDS 	3 	7 	N.SADIK DEĞER 	MMW 	343 	 	 	 	 	 	 	 
MATH579.01 	Desc.	GRADUATE SEMINAR 	0 	1 	KAZIM İLHAN İKEDA 	 	 	 	 	 	 	 	 	 
MATH581.01 	Desc.	SELECTED TOPİCS IN ANALYSIS I 	3 	7 	CEM YALÇIN YILDIRIM 	WWW 	8910 	 	 	 	 	 	 	 
MATH58C.01 	Desc.	SELECTED TOPICS COMMUTATIVE ALGEBRA 	3 	7 	OLIVER DR. BÜLTEL 	TTTh 	565 	 	 	 	 	 	 	 
MATH58K.01 	Desc.	SELECTED TOPICS IN MATHEMATICS:LIE ALGEBRAS AND REPRESENTATIONS 	3 	7 	ARZU BOYSAL 	WWTh 	345 	 	 	 	 	 	 	 
MATH58N.01 	Desc.	SELECTED TOPICS MODEL THEORY OF FIELDS 	3 	7 	ÖZLEM BEYARSLAN 	TTTh 	566 	 	Online 	 	 	 	 	 
MATH611.01 	Desc.	DIFFERENTIAL GEOMETRY I 	4 	10 	CRAIG CHARLES VAN COEVERING 	MMWW 	5656 	 	 	 	 	 	 	 
